norm_title,description,sentiment_score,violence_flag,genres,audience_group
turning point 911 and the war on terror,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.",-0.8225,1,"('documentary',)",
ingenuity of the househusband,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.,0.6597,0,"('comedy',)",
wind river,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,-0.6908,1,"('drama',)",
kyaa kool hai hum,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",0.4678,0,"('comedy',)",
lsd love sex aur dhokha,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,0.0,0,"('drama',)",
ragini mms,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,-0.7845,0,"('horror',)",
dirty picture,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",0.3182,0,"('comedy', 'drama')",
clickbait,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",-0.8934,1,"('drama',)",
john of god the crimes of a spiritual healer,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.",-0.7184,0,"('documentary',)",
november man,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",-0.6068,0,"('action',)",
oggy oggy,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!,0.9508,0,"('comedy',)",
korean cold noodle rhapsody,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.",0.5994,0,"('documentary',)",
man in love,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love.",0.8658,0,"('drama', 'romance')",
black island,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,0.1531,0,"('thriller',)",
bombay,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city.",-0.1779,0,"('drama', 'romance')",
pahuna,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India.",0.0,0,"('comedy', 'drama')",
defeated,"In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city.",-0.7579,1,"('drama',)",
walk of shame,"After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime.",0.0,0,"('comedy',)",
brand new cherry flavor,"A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens.",-0.6808,0,"('drama', 'horror')",
alrawabi school for girls,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,-0.7096,0,"('drama',)",
misha and the wolves,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny.",0.3612,0,"('documentary',)",
kissing booth 3,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee.",0.34,0,"('comedy', 'romance')",
hit run,A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.,-0.6908,1,"('action', 'drama')",
chennai express,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,0.7184,0,"('action', 'comedy')",
76,"When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.",0.6597,0,"('drama',)",
aftermath,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history.",-0.8176,0,"('horror',)",
cocaine cowboys the kings of miami,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.,0.7134,1,"('documentary',)",
heavy,Overweight Victor hides from the world making pizzas in his mother's gloomy dive until a new waitress blows in and disrupts his isolation.,-0.7579,0,"('drama', 'romance')",
prince who turns into a frog,"Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.",0.6369,0,"('comedy', 'romance')",
beethoven,"A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction.",-0.25,0,"('comedy',)",
boyka undisputed,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.,-0.7906,1,"('action',)",
darwins game,High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other.,0.25,0,"('thriller',)",
friday night lights,Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.,0.7579,0,"('drama',)",
inception,A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.,-0.7783,0,"('action', 'sci-fi', 'thriller')",
my girl 2,A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.,0.1779,0,"('comedy', 'drama')",
open season scared silly,"When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear.",-0.3612,0,"('comedy',)",
planet 51,"After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely.",0.25,0,"('comedy', 'sci-fi')",
seabiscuit,An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit.,0.8779,0,"('drama',)",
machinist,"Haunted and gaunt after a prolonged bout of insomnia, factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events.",-0.4767,0,"('drama', 'thriller')",
valentines day,The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14.,0.7841,0,"('comedy', 'romance')",
im glad i did,Glimpse into the life and decades-long career of Turkish performer Metin Akpınar through personal interviews with him and his contemporaries.,0.0,0,"('documentary',)",
last mercenary,A legendary secret agent-turned-mercenary comes out of hiding to save the son he's never met. Learning how to be a dad may be his toughest mission yet.,0.1779,0,"('action', 'comedy')",
all american,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,0.0,0,"('drama',)",
department,"Two cops form a task force to take down two mobsters, but when a sinister politician enters the picture, dubious loyalties and motives come to light.",-0.6956,0,"('action',)",
plastic cup boyz laughing my mask off,Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.,0.6597,0,"('comedy',)",
wynonna earp,The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.,0.25,0,"('action', 'drama')",
blood red sky,"When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son.",-0.6486,1,"('action', 'horror')",
masters of the universe revelation,"After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic.",-0.3612,0,"('action', 'sci-fi')",
9to5 the story of a movement,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment.",0.6801,0,"('documentary',)",
too hot to handle brazil,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex.",0.744,0,"('romance',)",
2 weeks in lagos,A businessman returns home to Nigeria and falls in love with a friend's sister despite his family’s plan for him to marry a politician’s daughter.,0.6369,0,"('drama', 'romance')",
la ley de herodes,"Following the brutal 1949 murder of a small Mexican town's mayor, genteel and humble janitor Juan Vargas is appointed his successor.",-0.836,1,"('comedy',)",
beguiled,"During the Civil War, a wounded Union soldier takes refuge at a Southern girls school, rupturing the calm amid growing sexual tension and infighting.",-0.4939,1,"('drama', 'thriller')",
book of henry,"An 11-year-old vows to help a new neighbor who he suspects is in danger, and documents his efforts in a series of written entries and audio recordings.",-0.4767,0,"('drama',)",
perfect fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.",0.3818,0,"('comedy', 'drama')",
her private life,"An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director.",0.3182,0,"('comedy', 'romance')",
lift like a girl,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level.",0.4767,0,"('documentary',)",
my amanda,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.",0.7043,0,"('drama', 'romance')",
born to play,"This documentary follows the Boston Renegades — an all-woman, tackle football team — as they risk their time, families and day jobs for the game.",-0.2732,0,"('documentary',)",
tour,"Miloš Knor brings comedians Lukáš Pavlásek, Tomáš Matonoha, Ester Kočičková, Michal Kavalčík and Richard Nedvěd on a tour around the Czech Republic.",0.296,0,"('comedy', 'documentary')",
atypical,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",0.0,0,"('comedy', 'drama')",
fear street part 2 1978,"In the cursed town of Shadyside, a killer's murder spree terrorizes Camp Nightwing and turns a summer of fun into a gruesome fight for survival.",-0.8442,1,"('horror',)",
rock the kasbah,"When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents.",0.6908,0,"('comedy',)",
cat people,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales.",0.9294,0,"('documentary',)",
major grom plague doctor,"When a masked vigilante’s killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it.",-0.8834,1,"('action',)",
mama drama,"After years of fertility issues and her mother-in-law's nagging, a woman hires her assistant as a surrogate. But things don’t go as smoothly as planned.",-0.2144,0,"('drama',)",
tango with me,A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night.,-0.5719,0,"('drama', 'romance')",
between,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them.",-0.5423,1,"('drama',)",
cuckoo,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family.",0.1406,0,"('comedy',)",
larva,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.,0.3182,0,"('comedy',)",
return of the prodigal son,"Freed after spending 12 years in jail, a man's homecoming turns into a dark affair as his disillusion clashes with his family's expectations.",0.1779,0,"('drama',)",
ujala,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",0.8608,1,"('drama',)",
greys anatomy,Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.,0.5267,0,"('drama', 'romance')",
haseen dillruba,"Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",-0.7717,1,"('romance', 'thriller')",
holiday on mars,A scoundrel's mission to escape his family and remarry on Mars is hilariously scrubbed when a mishap with a black hole turns his son into an old man.,0.1779,0,"('comedy',)",
air force one,"When terrorists hijack Air Force One with the president and his family on board, the commander-in-chief takes matters into his own well-trained hands.",-0.6124,1,"('action',)",
boogie nights,A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.,0.0,0,"('comedy', 'drama')",
kung fu panda 2,"With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu.",-0.9485,0,"('comedy',)",
midnight run,A cop-turned-bounty hunter runs into trouble as he races from New York to Los Angeles with a fugitive accountant who embezzled millions from the mob.,-0.4019,0,"('action', 'comedy')",
mothers day,The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.,0.0,0,"('comedy', 'drama')",
seven pounds,"Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance.",0.5994,0,"('drama', 'romance')",
shes out of my league,"Kirk's a 5. His new girlfriend Molly's a 10. No one knows what she sees in him, including Kirk. Will his raging insecurities ruin this budding romance?",-0.8225,0,"('comedy', 'romance')",
stuart little,"When his parents adopt a mouse instead of a little boy, George realizes brothers come in all shapes and sizes. But Snowbell the cat is not so welcoming.",-0.5709,0,"('comedy',)",
best of enemies,"In 1971, a summit on school integration in North Carolina pits a civil rights activist against a Ku Klux Klan leader, sparking an unlikely friendship.",0.4404,0,"('drama',)",
game,An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game.,0.0772,0,"('thriller',)",
karate kid part ii,"Daniel and his martial-arts mentor, Mr. Miyagi, visit Okinawa where they battle a hostile new nemesis and a former foe looking to settle an old score.",-0.7964,0,"('action', 'drama')",
long riders,"This Western chronicles the misadventures and demise of the James-Younger gang, 19th-century outlaws who tore through Missouri on a crime spree.",-0.5423,1,"('action',)",
strangers,"A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders.",-0.8934,1,"('horror', 'thriller')",
underworld rise of the lycans,"Set in the year 1402, this prequel follows Lucian, the first werewolf to take human form, and chronicles the feud between the vampires and the Lycans.",-0.34,0,"('action', 'horror', 'sci-fi')",
what dreams may come,"A physician finds himself in heaven after an accident, inhabiting the landscape of his wife's paintings while seeking to rescue her from the underworld.",0.5423,0,"('drama', 'romance', 'sci-fi')",
working title,"In the '70s, a graduate student works with three incarcerated women from the Manson Family as they look back at their lives. Based on a true story.",0.4215,0,"('drama',)",
prime time,"On New Year’s Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.",-0.128,1,"('drama', 'thriller')",
sophie a murder in west cork,A shocking murder in rural Ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders.,-0.7351,1,"('documentary',)",
into the wind,Two siblings set sail as a crew on a yacht on the Aegean Sea. Circumstances soon change when a young documentary filmmaker comes aboard.,0.0258,0,"('drama',)",
naked director,"In 1980s Japan, one determined man turned every crushing setback into opportunity. His name was Toru Muranishi, and he revolutionized his industry.",0.4019,0,"('drama',)",
seventh day,An inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy. But darkness lies where they least expect it.,-0.7783,0,"('horror',)",
too hot to handle,"On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex.",0.9625,0,"('romance',)",
osuofia in london,"A villager in Nigeria becomes the sole beneficiary of his late brother's estate in England, which, according to custom, includes his brother's fiancée.",0.4767,0,"('comedy', 'drama')",
this is pop,"Uncover the real stories behind your favorite pop songs as this docuseries charts the impact of the festival scene, Auto-Tune, boy bands and more.",0.7351,0,"('documentary',)",
nevertheless,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,0.6124,0,"('drama', 'romance')",
call my agent,"At a top Paris talent firm, agents scramble to keep their star clients happy – and their business afloat – after an unexpected crisis.",0.4939,0,"('comedy', 'drama')",
hap and leonard,"In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends.",0.8074,0,"('drama',)",
mobile suit gundam ii soldiers of sorrow,"The Earth Federation warship White Base and its Gundam pilot Amuro Ray struggle to make it back through enemy territory, pursued by Zeon's warriors.",-0.7579,1,"('action',)",
schitts creek,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek.",-0.1531,0,"('comedy',)",
family,"Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times.",0.0516,0,"('drama',)",
rurouni kenshin the final,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.",-0.6124,0,"('action',)",
katla,The catastrophic eruption of subglacial volcano Katla turns a nearby community’s world upside down as mysteries begin to emerge from the ice.,-0.4939,0,"('drama',)",
silver linings playbook,"A man with bipolar disorder moves home with his parents and makes a connection with a spirited widow, which helps both of them heal in unique ways.",0.296,0,"('comedy', 'drama')",
lets eat,A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him — but soon becomes her sidekick.,0.2732,0,"('comedy', 'romance')",
lowriders,"Caught up in the lowrider world of his father and embittered brother, an East LA graffiti artist grapples with a family feud while chasing his dreams.",-0.0772,0,"('drama',)",
millennials,A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating.,-0.8885,0,"('romance',)",
penguin town,"In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals.",0.3818,0,"('documentary',)",
avengers climate conundrum,"When a mysterious force steals Tony Stark’s weather machine to wreak havoc on the world, the Avengers must survive the extreme storms to save the day.",-0.6124,0,"('comedy',)",
reason i jump,The diverse experiences and emotions of five young people with autism fuel this illuminating documentary based on Naoki Higashida's bestselling memoir.,0.0,0,"('documentary',)",
blind intersections,This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates.,0.0772,0,"('drama',)",
vampire academy,"A half-human, half-vampire teen must prepare for class and her destiny as the protector of mortal vampires against their vicious immortal counterparts.",-0.128,0,"('action', 'comedy', 'sci-fi')",
small chops,"When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding.",-0.3612,0,"('drama', 'romance')",
breaking boundaries the science of our planet,David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.,-0.8546,0,"('documentary',)",
sweet tooth,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",0.743,0,"('action', 'drama', 'sci-fi')",
creators file gold,"Comedian Ryuji Akiyama satirizes top “creators” in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.",0.8519,0,"('comedy',)",
dancing queens,"A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",0.5994,0,"('comedy', 'drama')",
girl and the gun,"Fed up with abuse by those around her, a department store saleswoman finds a weapon in an alleyway and decides to settle scores.",-0.7506,1,"('drama', 'thriller')",
perfect ending,"After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl.",0.2023,0,"('drama',)",
american outlaws,"In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost.",-0.7579,1,"('action',)",
battlefield earth,"In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery.",-0.8271,0,"('action', 'sci-fi')",
black holes the edge of all we know,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.,0.0,0,"('documentary',)",
domestic disturbance,A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer – but soon begins to sense the boy is telling the truth.,-0.09,1,"('thriller',)",
gold statue,"After tracing an artifact to his ancestry, a young man and his friend's search for a gilded statue lands them in a maximum-security prison.",-0.5106,0,"('comedy', 'drama')",
mosquita y mari,"Neighbors but by no means friends, high schoolers Yolanda and Mari discover a bond and an attraction when they're made study partners.",0.7469,0,"('drama',)",
seven souls in the skull castle season moon jogen,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the “Moon Jogen” version of the show, performed in a 360º theater.",0.0,0,"('action', 'drama')",
streets of fire,"Tough ex-soldier Tom Cody springs into action when a depraved motorcycle gang kidnaps his former girlfriend, Ellen, who's now a famous singer.",-0.128,0,"('action',)",
four seasons,"Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics.",0.2732,0,"('comedy', 'romance')",
wind,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her.",-0.9468,0,"('horror',)",
then came you,A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.,-0.8442,1,"('comedy', 'drama')",
one lagos night,"A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.",0.0258,0,"('comedy',)",
collateral beauty,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.,0.0,0,"('drama',)",
baggio the divine ponytail,"The story of Roberto Baggio, one of the best soccer players of all time, including his career highs, triumphs over injuries and discovery of Buddhism.",0.802,0,"('drama',)",
gatao the last stray,Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn.,0.7003,0,"('action', 'drama')",
nail bomber manhunt,"This documentary examines the 1999 London bombings that targeted Black, Bangladeshi and gay communities, and the race to find the far-right perpetrator.",-0.4939,0,"('documentary',)",
asmaa,"Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events.",0.8402,0,"('drama',)",
special,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.,0.4215,0,"('comedy',)",
amy tan unintended memoir,"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary.",0.872,0,"('documentary',)",
love or money,"When persistent Leon sweeps her off her feet, ambitious Angel must choose between true love and her dreams of a luxurious life.",0.9153,0,"('drama', 'romance')",
ferry,"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life.",0.6486,0,"('drama', 'thriller')",
haunted,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",0.5106,0,"('horror', 'thriller')",
table manners,"When a housewife's picture-perfect life comes crashing down, she finds solace and hope through cooking, family and love.",0.7964,0,"('comedy', 'drama')",
mystic river,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets.",-0.4767,0,"('horror', 'sci-fi')",
upshaws the afterparty,"The comedic dream team from ""The Upshaws"" discuss the hit series, share some anecdotes from their own upbringings and play a little swag-centric game.",0.8074,0,"('comedy',)",
tottaa pataaka item maal,"Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi.",-0.4939,0,"('drama',)",
nayattu,Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.,-0.34,0,"('drama', 'thriller')",
