norm_title,description,audience_group,genres,sentiment_score,violence_flag,label
chronically metropolitan,A case of writer’s block inspires a young novelist to return home to New York City and reconnect with his engaged ex and his bohemian parents.,adult,"['comedy', 'drama']",0.4019,0,0
black and white in color,"French colonists in Africa find themselves at war with their German neighbors. Deciding that they must do their proper duty and fight the Germans, they promptly conscript the local native population. A young, idealistic French geographer seems to be the only rational person in the town, and he takes over control of the war after several bungles on the part of the others.",child,"['action', 'comedy', 'drama']",-0.8225,1,1
japanese story,"Sandy (Toni Collette), a geologist, finds herself stuck on a field trip to the Pilbara desert with a Japanese man she finds inscrutable, annoying and decidedly arrogant. Hiromitsu's (Otaro Tsunashima) view of her is not much better. Things go from bad to worse when they become stranded in one of the most remote regions on earth. Japanese Story is a journey of change and discovery.",adult,['drama'],-0.9451,0,0
coffee kareem,An inept Detroit cop must team up with his girlfriend's foul-mouthed young son when their first crack at bonding time uncovers a criminal conspiracy.,adult,"['action', 'comedy']",-0.7783,0,0
imperial dreams,"A young father returns home from jail eager to care for his son and become a writer, but crime, poverty and a flawed system threaten his plans.",adult,['drama'],-0.8945,1,0
inuyasha the movie 4 fire on the mystic island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",child,['action'],0.4019,0,1
jinn,"On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground.",adult,['drama'],-0.6369,0,0
supernature wild flyers,This series examines the aerodynamics of flight and the evolutionary processes that have enabled certain species to survive by taking to the skies.,child,['documentary'],0.2732,0,1
pyaar ke side effects,"A commitment-phobe agrees to marry his girlfriend, setting in motion a series of hilarious mishaps that has him questioning what he got himself into.",adult,"['comedy', 'romance']",0.4767,0,0
maacher jhol,"On his first visit to his home city of Kolkata in 13 years, a Paris-based chef is faced with a cooking challenge that will change his life forever.",child,['drama'],0.0772,0,1
monster of mangatiti,Real events are dramatized in the unthinkable story of a resilient teenager held prisoner by a seasoned predator on a remote farm in the 1980s.,adult,['drama'],-0.5423,0,0
devrai,"After science student Shesh Shahi – a shy eccentric with a strange connection to nature – is examined by a team of mental hospital doctors, a gripping portrait of schizophrenia emerges.",child,['drama'],-0.4215,0,1
hatred,Four young women head to a country house for an idyllic weekend retreat. But what lies in store for them is far from the dreamy getaway they imagined.,adult,['horror'],-0.5106,0,0
urvi,"After getting tricked into working at a brothel, a medical student joins forces with two of her co-workers to fight their unscrupulous exploiters.",adult,['drama'],-0.4939,1,0
rising high,"Ready to do anything to get rich, a young man upends the Berlin property market with his shady pal, till the good times threaten to destroy it all.",adult,['drama'],0.4404,0,0
feel the beat,"After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.",child,"['comedy', 'drama']",0.1027,0,1
sacro gra,"Italian filmmaker Gianfranco Rosi turns his eye to his own country, roaming and filming for over two years in a minivan on Rome's giant ring road.",adult,['documentary'],0.0,0,0
rebound,"This documentary follows three players on the Miami Heat Wheels, who face long odds on the way to the national wheelchair basketball championship.",adult,['documentary'],0.4404,0,0
ghosts of war,"Five, battle-worn Allied soldiers guarding a chateau previously occupied by Nazis start experiencing unexplained and terrifying supernatural horrors.",adult,['horror'],-0.8126,0,0
sister sister,"['Part at birth, matching sisters Tia Landry and Tamera Joseph campbell reunite after 14 days and soon move in unitedly, combine families and personality.']",child,['comedy'],0.5106,0,1
brave one,New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.,adult,"['drama', 'thriller']",-0.8689,1,0
toast of london,"After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs.",adult,['comedy'],-0.8519,0,0
slow west,"Determined to find the woman he loves, a Scottish teenager braves the Western frontier of 19th-century America, with bounty hunters hot on his trail.",adult,"['action', 'drama']",0.8402,0,0
jem and the holograms,"[""After becoming an nightlong star via the net, teenage rock 'n' roll musician Jem and her sisters journey to LA, where fame, fun and a mob mystery await.""]",child,['drama'],0.765,0,1
car,"In his small Southwestern town, sheriff Wade Parent must find out who — or what — is running people down via a mysterious, driverless black sedan.",child,['horror'],0.0,0,1
count me in,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.,adult,['documentary'],0.7906,0,0
daniel boone trail blazer,"['Daniel Boone leads settlers into Kentucky, only must battle Shawnee American indian world health organization let been persuaded by a French turncoat that Boone and the settlers are there to kill them and slip their ground.']",child,['drama'],-0.9455,1,1
santa girl,"Fleeing the family business and an arranged marriage, Santa’s daughter chooses a magical adventure of her own: College.",child,"['comedy', 'romance']",0.3182,0,1
kicko super speedo,This high-energy animated series follows a gutsy kid and his trusty race-car pal as they save their city from bad guys and their scary vehicles.,child,['comedy'],-0.0772,0,1
tenacious d in the pick of destiny,"Dreaming of being a rock god, Midwesterner JB heads to California, where he crosses paths with idler KG – giving rise to the musical duo Tenacious D.",adult,['comedy'],0.5423,0,0
free rein,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.",child,['drama'],0.0,0,1
düğün dernek,"On the first day of Ramadan, Ismail joins friends on a road trip to a mosque and encounters his son, who, to Ismail's chagrin, plans a hasty wedding.",adult,['comedy'],0.0516,0,0
terra,['This visually arresting documentary essay reflects on our family relationship to former living creatures as humanity becomes to a greater extent stray from nature.'],child,['documentary'],-0.3804,0,1
naughty jatts,"When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest.",child,['comedy'],0.8176,0,1
captain underpants mega blissmas,Christmas gets weird — really weird — after George and Harold go back in time to change up a few of their beloved holiday's traditions.,child,['comedy'],0.2263,0,1
phantom boy,A boy whose illness allows him to float outside his body uses his newfound skill to help a cop take on a madman who's terrorizing New York City.,child,"['action', 'drama']",-0.6124,1,1
de la vida al plato,"['We are going to delve into the haute culinary art, together with the actor Juan Echanove. From Virago Prime Video, we have booked in 8 different eatery with an unquestionable high standing. In each installment, we ’ ll get to know their history and their style and ways of induce their special culinary art']",child,['documentary'],0.1779,0,1
zoom,"['Dragged from civilian life, a sometime superhero mustiness train a raw crop of youthful jesus christ when the military homework for an attack by a intimate villain.']",child,['comedy'],-0.6808,1,1
head on,"This edgy drama follows 19-year-old Ari, a gay Greek-Australian whose roiling ethnic- and sexual-identity struggles lead to a wild, 24-hour odyssey.",adult,['drama'],-0.3612,0,0
rosemarys baby,"A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.",adult,"['horror', 'thriller']",-0.2525,0,0
indiana jones and the temple of doom,"Indiana Jones, his young sidekick and a spoiled songbird get more than they bargained for when they go to India in search of a missing magical stone.",child,['action'],-0.296,0,1
slasher,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.,adult,"['horror', 'thriller']",-0.8885,1,0
oa,"Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission.",adult,"['drama', 'sci-fi']",0.25,0,0
danger street,"[""When a newspaper publisher decides to sell his newspaper, the newspaper ' s employees decide to pool together their resources and buy the newspapers themselves. Lead photojournalist Pat Marvin (Withers) barely manages to escape a casino with her life after taking compromising photos of secretive society girl Cynthia Van Loan (Riley ). The newspaper ' s editor, Larry Burke (Lowery) decides to deal the photos to another magazine to raise funds to keep the hardly - hanging - on newspaper afloat. However, the picture buyer is murdered, leading to Dab and Larry trying to solve the complicated murder mystery, without getting murdered themselves.""]",child,['drama'],-0.9226,1,1
xchange,A man learns the danger of a new technology that allows people to transport their minds into a waiting body at their chosen destination when his body is taken over by a terrorist.,adult,['sci-fi'],-0.8442,1,0
my own man,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.",adult,['documentary'],-0.4215,0,0
flipped,"['Bryce and Juli first off meet as child, with Juli having a crush on Bryce. As they mature, it appears their bond crataegus laevigata blossom into something to a greater extent.']",child,"['comedy', 'drama', 'romance']",0.296,0,1
fahrenheit 119,"Michael Moore's Fahrenheit 11/9 is a provocative and comedic look at the Trump Era, exploring the questions: How did we get here, and how do we get out?",adult,['documentary'],0.4019,0,0
eerie indiana the other dimension,"['In this spinoff to the fad hellenic series, a newfangled mystery story begins for two young boys in the the seemingly ordinary town of Eerie, Indiana as they feel unknown and interesting phenomenon.']",child,"['comedy', 'drama']",-0.1531,0,1
lady driver,"[""When a rebellious adolescent searches for her unidentified roots, information technology head her to the sport of dirt caterpillar track racing and a discovery she didn ' t expect.""]",child,['drama'],-0.5574,0,1
take the 10,Two buddies working dead-end cashier jobs endure a mind-blowing series of events on their quest to get to the hip-hop show of their lives.,adult,['comedy'],0.0,0,0
p king duckling,"['P. King, the boldness but hapless duck, teams upward with best buddy Wombat and Chumpkins to find wacky and waste way to figure out their problems.']",child,['comedy'],0.4767,0,1
prague,The chaotic ramblings of a young architect's mind take hold of his life as he leaves behind his past in India to work in Prague.,adult,['drama'],-0.4939,0,0
who killed the electric car,"An investigation into the death and resurrection of the electric car, as well as the role of renewable energy and sustainable living in our country's future.",child,['documentary'],-0.1779,1,1
stand up and away with brian regan,['Brian Regan blends his trademark observational stand - up with short sketches and a bit of interview fundamental interaction in this intercrossed comedy series.'],child,['comedy'],0.3612,0,1
boy missing,"When her son is kidnapped and later found traumatized, a lawyer takes justice into her own hands, causing events that spiral out of control.",adult,['thriller'],0.1779,0,0
naga the eternal yogi,"['This documentary canvas the nude yoga guru of India whose devout spiritual practice connects them to the endless, transcending the material world.']",child,['documentary'],0.0,0,1
for your own good,"Three brothers-in-law join forces to secretly drive away their daughters' undesirable boyfriends: anarchist Álex, bad-boy Dani and playboy Ernesto.",adult,['comedy'],-0.1779,0,0
dead lands,"Hongi (James Rolleston), a Maori chieftain's son seeks to avenge his father's murder and the slaughter of his tribe. Outnumbered by a band of villains, Hongi must pass through the Dead Lands and forge an alliance with the mysterious ""Warrior"".",adult,"['action', 'adventure', 'horror']",-0.9371,1,0
middle school the worst years of my life,"['At Hills Village Center Schoolhouse, bud cartoonist Rafe and best pal Leo challenge their uptight school principal by breaking every rule in his handbook.']",child,['comedy'],0.4404,0,1
tigertail,['A man mull over on the lost passion of his youthfulness and his long - ago journey from Taiwan to America as atomic number 2 begins to reconnect with his alienated girl.'],child,['drama'],0.4404,0,1
mi amigo alexis,"['When a young soccer fan and his idol forge an unexpected friendship, the connection teaches them both lessons astir life and their love of the plot.']",child,"['comedy', 'drama']",0.8555,0,1
inkheart,"[""Unbeknownst to his twelve - year - old girl, a bookbinder has a secret ability to bring theatrical role to spirit by reading their account ko'd loud.""]",child,"['action', 'sci-fi']",0.3182,0,1
space jungle,"['A wiped out starship strands four very tiny aliens on Terra firma, where they come upon an escapade (and strange dangers!) that they never expected.']",child,['comedy'],-0.4389,0,1
story of kale when someones in love,"['After leave a toxic relationship, Dinda embark on a romance with Pelf, whose sight on love shortly shatters as he writhe with his own insecurities.']",child,"['drama', 'romance']",0.7184,0,1
popeye,"During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.",child,"['action', 'comedy']",0.0,0,1
faraway land,"In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story.",child,"['drama', 'romance']",0.6369,0,1
gods not dead,['A spiritual college educatee crash with an atheistical professor who take a firm stand that scholarly person will only pass his class by admitting that God is dead.'],child,['drama'],-0.4939,0,1
how the beatles changed the world,Interviews and rare archival footage illuminate how the Beatles' influence over music and culture continues to be felt around the world.,child,['documentary'],0.0,0,1
take me home tonight,"Set in the financial boom of the late 1980s, this tale centers on a recent college grad trying to figure out what to do with his life.",adult,"['comedy', 'romance']",0.0,0,0
dollar,Beautiful executive assistant Zeina reluctantly teams up with the self-assured Tarek to chase down an elusive dollar bill worth $1 million.,adult,['drama'],0.6597,0,0
life in the doghouse,"A couple operates a bustling dog rescue out of their own home, vowing to give a safe space to the neediest pups on the planet – 10,000 and counting.",child,['documentary'],0.7351,0,1
palm trees in the snow,"Finding a tantalizing clue in an old letter, a young woman journeys to her family's tropical plantation to uncover generations of secrets.",adult,"['drama', 'romance']",0.0,0,0
memories of a murderer the nilsen tapes,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,adult,['documentary'],-0.8689,1,0
special correspondents,"When they lose their passports, a bickering radio team invents phony reports from a combat zone in a ruse that becomes increasingly complicated.",adult,['comedy'],-0.6249,0,0
standups,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.",adult,['comedy'],0.4767,1,0
welcome,"In this silly Bollywood farce, the brothers of a Mafia princess set out on a comical mission to marry their sister into a respectable family.",child,['comedy'],0.0772,0,1
doc west part 2,"After bandits steal his poker winnings this American legend makes his way to the next town in search of them. Seeking out his revenge during a poker game gone bad Doc West finds himself in the local town jail. When his past is exposed and a battle amongst the town breaks out in gunfire he will have to choose sides, between the outlaws or the law-abiding citizens.",child,"['comedy', 'drama']",-0.8591,1,1
call of the wild,"Jack London's beloved story is brought to life in a delightful adventure series for the whole family. This TV series follows a 15-year-old boy living in an Alaskan mining town at the turn of the century whose life changes forever when he encounters a heroic and powerful dog named Buck, who together battle natures toughest elements, stand up against hardened criminals and rescue people in danger.",child,"['action', 'adventure', 'drama']",0.8442,0,1
dark shadows the beginning,"[""Dr. Peter Guthrie and Joe Haskell offend into Laura Murdoch Stockbridge ' s crypt at Eagle Hill Cemetery. David Collins informs Victoria falls Winters that he wants to go away with his mother, Laura. Woody guthrie arrange to conduct a seance at the Old House to contact Josette Collins ' shade. Victoria falls makes a bizarre discovery that leads her to believe David ' s life is in jeopardy.""]",child,"['drama', 'sci-fi']",-0.7717,0,1
marriage story,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.,adult,['drama'],0.4939,1,0
monster house,"['A trio of friends sets out to expose the threat of a vacant neighborhood sign of the zodiac, which come out to have a craving for people — and a life of it own.']",child,['comedy'],-0.2732,1,1
pettersson and findus 2,"['Christmas represent just around the corner, but Pettersson and Findus are worry the snowy weather (and lack of a tree) whitethorn preserve them from celebrate.']",child,['comedy'],0.0772,0,1
killer ratings,Brazilian TV personality and politician Wallace Souza faces accusations of masterminding the violent crimes he reported on and rallied against.,adult,['documentary'],-0.7351,1,0
encerrados,"This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally.",adult,['comedy'],0.0,0,0
regatta,Inside one of Cairo's most impoverished areas exists a place where criminals control everything and everyone.,adult,"['action', 'drama']",-0.5719,0,0
bruno and boots this cant be happening at macdonald hall,"['The biggest trouble maker at Macdonald Hall are Giordano bruno and Boots, world health organization are caught and face an unthinkable penalisation: interval into dissimilar dorms.']",child,['comedy'],-0.7506,0,1
dilwale,"['A young couple falls in love, but conflicting allegiance labour them aside. Years by and by, fate intervenes and hand them a second opportunity.']",child,"['action', 'drama']",0.6597,0,1
souvenir,"In this exquisite story of first love, a young woman falls into an intense, emotionally fraught relationship with a charismatic but untrustworthy man.",adult,"['drama', 'romance']",0.4118,0,0
i got the hook up,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",adult,"['action', 'comedy']",0.0,0,0
patriot games,CIA desk jockey Jack Ryan plunges into the heart of international terrorism after spoiling an assassination attempt on a British royal family member.,adult,['action'],-0.8591,1,0
comedy premium league,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.",adult,['comedy'],0.743,0,0
hold the dark,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",adult,"['action', 'drama']",-0.7391,1,0
grand night in the story of aardman,"[""Aardman Animations ikon Sir william wallace & Gromit, Morph and more join fans and collaborators for a retrospective lionize the studio apartment ' s 40th anniversary.""]",child,['documentary'],0.7346,0,1
city in the sky,"This series explores the magnitude and scale of modern air travel, and the challenges faced by those responsible for its smooth functioning.",child,['documentary'],0.3818,0,1
goin south,"According to the laws of the Old West town where criminal Henry Lloyd Moon (Jack Nicholson) is about to be executed, a death row convict will be spared if a reputable woman promises to marry him and mend his ways. When Julia Tate (Mary Steenburgen) vouches for Henry, he is allowed to walk free, but now must deal with his old gang, the Sheriff, the bank, and his new wife.",child,['comedy'],-0.1779,1,1
bugs,['A uncoerced squad of chefs and research worker depart on a gastronomic adventure around the earth to weigh the benefit of using bug as a hereafter food source.'],child,['documentary'],0.5994,0,1
darkest dawn,An aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors.,adult,['action'],-0.5994,0,0
woman of desire,"A yacht captain, Jack Lynch, is accused of murdering his boss and raping the victim's wife, Christina Ford. Nothing is how it first appears. Jack seeks the help of veteran attorney Walter J. Hill to help prove his innocence.",adult,['drama'],-0.6486,1,0
spiderman into the spiderverse,"['After being bitten by a radioactive spider, Brooklyn stripling Miles Team spirit gets a crash course of instruction in web - sling from his alternate - property counterpart.']",child,"['action', 'comedy']",-0.4019,0,1
weird wonders of the world,"From animal oddities and bizarre science to medical marvels, scientists and experts examine some of the world's strangest mysteries and phenomena.",child,['documentary'],0.1779,0,1
kalek shanab,"[""After a wild nighttime of partying on the town, 3 buddies stir up up to disclose they ' ve caused a whole mess of problem — but buttocks ' t think of how.""]",child,['comedy'],-0.2023,0,1
mcmafia,"McMafia journeys through a labyrinth of international criminals, money launderers, corrupt politicians and ruthless intelligence agencies.",adult,['drama'],-0.1531,0,0
monkey twins,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",adult,['action'],0.0258,1,0
cbgb,"Alan Rickman stars as legendary NYC club owner Hilly Kristal, who during the 1970s, wanted to create a venue for country, bluegrass and blues music (thus the name CBGB). When those acts became difficult to book, he shifted the club's focus to local bands playing original music, launching the careers of Patti Smith, Blondie, the Talking Heads and the Ramones and helping to define the punk scene.",adult,"['comedy', 'drama']",0.5994,0,0
dogs of berlin,"Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",adult,['drama'],-0.431,1,0
joker,A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.,child,['comedy'],-0.3182,0,1
fairytale a true story,"Two children in 1917 take a photograph, believed by some to be the first scientific evidence of the existence of fairies. Based on a true story.",child,['adventure'],0.4215,0,1
christmas with the kranks,['When Martin luther Krank and his wife opt to skip Christmastide – no tree and no rooftop Frosty – can they care the side effect from their crime syndicate and neighbors?'],child,['comedy'],-0.5267,0,1
top secret ufo projects declassified,"['Though claims of extraterrestrial encounters have long be dissolve, many believe the macrocosm of UFOs be non just probable, but a certainty.']",child,['documentary'],0.3612,0,1
white christmas,"Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place.",child,['comedy'],-0.872,1,1
golem,"As sickness spreads throughout the countryside, an infertile woman conjures a living child out of clay and sets it loose on her enemies.",adult,['horror'],-0.6705,0,0
chef show,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",adult,['documentary'],0.8176,0,0
pirates band of misfits,"An egotistical pirate captain strives to win the Pirate of the Year Award, but to snag the coveted prize, he'll have to outwit his dreaded rivals.",child,['comedy'],0.3818,1,1
dr heckyl and mr hype,"This is a hilarious twist on the old ""Dr. Jeckyl and Mr. Hyde"" theme. He became Dr. Hype – good-looking on the outside and very bad on the inside. Which man will the lady love?",adult,['comedy'],0.4779,0,0
fishermans diary,"Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education",adult,['drama'],0.93,0,0
malang,"Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.",adult,"['action', 'romance']",-0.5994,1,0
cave,"Torn between old camaraderie and recent tensions, three ex-soldiers reunite to explore a deadly cave but soon discover terror beyond all expectations.",adult,"['action', 'thriller']",-0.7876,1,0
wet hot american summer,"It's the first day of camp in this outrageous prequel to the hilarious 2001 cult classic movie. And at Camp Firewood, anything can happen.",adult,['comedy'],-0.2023,0,0
riding faith,"Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse.",child,['drama'],-0.25,1,1
conjuring,"When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists.",adult,"['horror', 'thriller']",-0.2263,1,0
humko deewana kar gaye,['2 kindred spirits world health organization are betrothed to others must settle whether to go through with arranged marriages or brush aside formula for true love.'],child,['romance'],0.7906,0,1
break,"After a serious accident, Lucie tries to rediscover herself as a dancer and meets Vincent, a talented b-boy battling his own insecurities.",adult,"['comedy', 'drama']",-0.6124,0,0
suzzanna buried alive,"After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good.",adult,['horror'],-0.9022,1,0
coffee for all,"In Naples, Buenos Aires and New York, people reflect on the Neapolitan tradition of ""suspended coffee"" and how it changed their lives.",child,['documentary'],-0.4767,0,1
şubat,"An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",adult,['drama'],0.4215,0,0
babysitters club,Ann M. Martin's beloved books get a modern update in this series that follows a group of girlfriends and their homegrown babysitting business.,child,['drama'],0.5106,0,1
under the skin,"A seductive alien prowls the streets in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",adult,['drama'],-0.2023,0,0
kung fu yoga,['Ii mismatched archaeologist conflict a squad of vicious mercenaries in a race to discover an ancient Tibetan treasure of unimaginable worth.'],child,"['action', 'comedy']",-0.25,0,1
sdu sex duties unit,Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.,adult,['comedy'],-0.4019,0,0
cutthroat alley,Timothy Wayne Folsome's urban horror film Cutthroat Alley features a masked serial killer who slits the throats of each of his victims in the hood of South Central Los Angeles. The film turns when it seems as if someone is out to murder the murderer.,adult,['horror'],-0.9666,1,0
geez ann,"['After light for Geez, a heartthrob at school, Ann must face up family oppositeness, grief and deception as their romance struggles.']",child,"['drama', 'romance']",-0.4767,0,1
disjointed,Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.,adult,['comedy'],0.8658,0,0
arms of my enemy,"Four men living in Eastern Europe in 1856 get caught up in tales of thievery, murder and revenge.",adult,['drama'],-0.9022,1,0
