norm_title,description,genres,audience_group
raja rasoi aur anya kahaniyan,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",['documentary'],child
saved by the bell,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",['comedy'],child
schumacher,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",['documentary'],teen
stories by rabindranath tagore,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,['drama'],child
too hot to handle latino,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",['romance'],adult
jack whitehall travels with my father,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",['documentary'],adult
king of boys,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",['drama'],adult
little singham black shadow,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,['comedy'],child
tughlaq durbar,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"['comedy', 'drama']",teen
kate,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",['action'],adult
lucifer,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","['comedy', 'drama']",teen
omo ghetto the saga,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.","['action', 'comedy', 'drama']",adult
prey,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,['thriller'],adult
blood brothers malcolm x muhammad ali,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",['documentary'],teen
paradise hills,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.","['sci-fi', 'thriller']",adult
women and the murderer,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,['documentary'],teen
into the night,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,['drama'],adult
jje,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?","['drama', 'romance']",adult
show dogs,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,['comedy'],child
if i leave here tomorrow a film about lynyrd skynyrd,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",['documentary'],adult
kid cosmic,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,"['comedy', 'sci-fi']",child
on the verge,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.","['comedy', 'drama']",adult
untold breaking point,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",['documentary'],adult
countdown inspiration4 mission to space,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",['documentary'],teen
shadow parties,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,"['drama', 'thriller']",adult
angamaly diaries,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.","['action', 'comedy', 'drama']",teen
bunkd,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",['comedy'],child
champion heart,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",['drama'],child
dive club,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",['drama'],child
money heist from tokyo to berlin,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",['documentary'],adult
afterlife of the party,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,"['comedy', 'romance']",child
anjaam,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.","['drama', 'thriller']",teen
bright star,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,"['drama', 'romance']",child
dhanak,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,"['comedy', 'drama']",child
final account,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,['documentary'],teen
gurgaon,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.","['drama', 'thriller']",teen
here and there,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.","['drama', 'romance']",adult
heroes of goo jit zu,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",['comedy'],child
hotel del luna,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.","['comedy', 'romance']",teen
in the cut,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",['thriller'],adult
qforce,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!","['action', 'comedy']",adult
shikara,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,"['drama', 'romance']",teen
cinderella story,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,['comedy'],child
agatha christies crooked house,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.","['drama', 'thriller']",teen
unfinished life,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",['drama'],teen
blade runner the final cut,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",['action'],adult
brave animated series,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,"['action', 'comedy']",adult
chappie,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.","['action', 'sci-fi']",adult
clear and present danger,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.","['action', 'drama']",teen
cliffhanger,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",['action'],adult
cold mountain,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.","['drama', 'romance']",adult
crocodile dundee in los angeles,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.","['action', 'comedy']",child
dear john,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.","['drama', 'romance']",teen
do the right thing,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.","['comedy', 'drama']",adult
el patrón radiografía de un crimen,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,"['drama', 'thriller']",adult
extraction,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",['action'],adult
freedom writers,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",['drama'],teen
green lantern,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,"['action', 'sci-fi']",teen
house party,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",['comedy'],adult
house party 2,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",['comedy'],adult
house party 3,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",['comedy'],adult
i got the hook up,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.","['action', 'comedy']",adult
in too deep,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",['thriller'],adult
initial d,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",['action'],teen
janoskians untold and untrue,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,['comedy'],adult
labyrinth,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",['action'],child
letters to juliet,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.","['comedy', 'drama', 'romance']",child
level 16,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.","['sci-fi', 'thriller']",teen
love dont cost a thing,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,"['comedy', 'romance']",teen
love in a puff,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.","['comedy', 'drama']",adult
major dad,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",['comedy'],child
mars attacks,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.","['comedy', 'sci-fi']",teen
marshall,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",['drama'],teen
my bosss daughter,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.","['comedy', 'romance']",adult
mystery men,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,"['action', 'comedy']",teen
once upon a time in america,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,['drama'],adult
open season 2,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,['comedy'],child
osmosis jones,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,"['action', 'comedy']",child
poseidon,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.","['action', 'drama']",teen
rhyme reason,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",['documentary'],adult
same kind of different as me,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,['drama'],teen
school of rock,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",['comedy'],teen
snervous tyler oakley,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",['documentary'],teen
tears of the sun,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.","['action', 'drama']",adult
blue lagoon,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.","['drama', 'romance']",adult
golden child,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,"['action', 'comedy']",teen
guns of navarone,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",['action'],teen
interview,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,"['action', 'comedy']",adult
nutty professor,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.","['comedy', 'romance']",teen
nutty professor ii the klumps,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.","['comedy', 'romance']",teen
turning point 911 and the war on terror,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.",['documentary'],teen
welcome home roscoe jenkins,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",['comedy'],teen
in the line of fire,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,['action'],adult
untold crime penalties,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.",['documentary'],adult
hometown chachacha,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.","['comedy', 'romance']",teen
ingenuity of the househusband,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.,['comedy'],child
2 alone in paris,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",['comedy'],adult
bread barbershop,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",['comedy'],child
thimmarusu,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",['drama'],teen
wind river,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,['drama'],adult
c kkompany,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.","['action', 'comedy']",teen
dp,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,['drama'],adult
deadly sins,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,['drama'],adult
emi liya hai to chukana padega,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,"['comedy', 'drama']",teen
hes all that,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""","['comedy', 'romance']",teen
i heart arlo,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.,['comedy'],child
king of boys the return of the king,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.",['drama'],adult
koi aap sa,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.","['comedy', 'drama']",teen
krishna cottage,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,"['action', 'horror']",teen
kyaa kool hai hum,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",['comedy'],adult
kyaa kool hain hum 3,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",['comedy'],adult
kyaa super kool hain hum,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,['comedy'],adult
kyo kii main jhuth nahin bolta,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,"['comedy', 'sci-fi']",teen
lsd love sex aur dhokha,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,['drama'],adult
mission istaanbul darr ke aagey jeet hai,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,['action'],teen
once upon a time in mumbaai,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.",['drama'],teen
once upon a time in mumbai dobaara,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.",['drama'],teen
ragini mms,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,['horror'],adult
ragini mms 2,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,['horror'],adult
rebellion,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.",['drama'],adult
ride on time,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.,['documentary'],child
sas rise of the black swan,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train.",['action'],adult
shootout at lokhandwala,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.","['action', 'drama']",adult
shor in the city,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.","['comedy', 'drama']",teen
dirty picture,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.","['comedy', 'drama']",teen
family reunion,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",['comedy'],child
bob ross happy accidents betrayal greed,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,['documentary'],teen
clickbait,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",['drama'],adult
john of god the crimes of a spiritual healer,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.",['documentary'],adult
open your eyes,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",['drama'],adult
post mortem no one dies in skarnes,"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if...","['comedy', 'drama']",adult
really love,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,"['drama', 'romance']",adult
november man,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",['action'],adult
old ways,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed.",['horror'],adult
river runner,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",['documentary'],adult
water man,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death.",['drama'],child
count me in,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.,['documentary'],adult
oggy oggy,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!,['comedy'],child
untold caitlyn jenner,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.,['documentary'],child
boomika,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.","['horror', 'thriller']",teen
witcher nightmare of the wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",['action'],adult
manifest,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities.","['drama', 'sci-fi']",teen
comedy premium league,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.",['comedy'],adult
everything will be fine,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,['comedy'],adult
gunshot,"After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth.","['drama', 'thriller']",teen
