norm_title,description,audience_group,genres,sentiment_score,violence_flag
up among the stars,"[""A grieving film maker clamber to keep custody of his young son after his wife ' s destruction uses magical, imaginary stories to uphold their bond paper.""]",adult,"['drama', 'sci-fi']",-0.875,1
io,"[""As a unseasoned scientist searches for a way to save a dying Ground, she see a connection with a man world health organization ' s racing to catch the last place shuttle cancelled the major planet.""]",teen,"['drama', 'sci-fi']",0.4939,0
black mirror bandersnatch,"['In 1984, a young programmer begins to question reality as he adapts a morose fantasy novel into a video biz. A judgment - bending taradiddle with multiple termination.']",adult,"['drama', 'sci-fi']",0.3182,0
bird box,"['Five year after an ominous unseen presence drive most of society to suicide, a subsister and her two children make up a desperate bid to reach safety.']",adult,"['drama', 'sci-fi', 'thriller']",-0.5859,0
fredi,"['Venturing into the wood, high schooler Epistle of james discovers an sound automaton that atomic number 2 must economise from the hands of a man of affairs with an evil scheme.']",child,['sci-fi'],0.2023,0
neo yokio,"[""Link up by his close mecha - butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio ' s sinister high society.""]",adult,"['comedy', 'sci-fi']",0.4939,0
mystery science theater 3000 the return,"['The religious cult hit returns! Appropriate by mad scientists, new innkeeper Book of jonah survives a blitz of cheesy B movies by riffing on them with his laughable robot brother.']",teen,"['comedy', 'sci-fi']",-0.1511,0
transfers,"['After a boating accident, woodman and fellowship man Florian heat up in the organic structure of an officer who leads a task military group against illegal eubstance transfers.']",adult,['sci-fi'],-0.7717,0
scorpion king 5 book of souls,['The Scorpio the scorpion King join force with a Nubian princess in an all - operating room - nothing battle to stop a warlord from claiming the soul of the vanquished.'],teen,"['action', 'sci-fi']",-0.5859,1
illang the wolf brigade,"['In 2029, the elect police squad Illang combats a terrorist grouping fight reunification of the 2 Koreas. Just another enemy may be tarry nearby.']",adult,"['action', 'sci-fi']",-0.8674,1
errementari the blacksmith and the devil,"['A brutal blacksmith torment a fiend he blame for his wretchedness, unaware a trespassing orphan be about to change everything. Based on Basque folklore.']",adult,"['horror', 'sci-fi']",-0.9413,1
my friend pinto,['A shiny - eyeball villager comes face - to - face with the gritty realities of new - solar day Bombay when he sets out to find his puerility friend.'],teen,"['comedy', 'sci-fi']",0.4939,0
animal world,"[""An luckless, debt - ridden adolescent resorts to his maths skills when he ' s ram into a deadly tournament of rock - paper - scissors run by a diabolical legion.""]",adult,"['action', 'sci-fi']",-0.4588,1
next gen,"['When lonely Mai forms an unlikely bail with a top - secret automaton, they ship on an acute, action - packed escapade to scotch the patch of a vicious villain.']",child,"['comedy', 'sci-fi']",-0.7184,0
bhavesh joshi superhero,"['When his best friend is killed for uncovering political corruption, an idealistic immature man settle to become a disguised fighter for doj.']",teen,"['drama', 'sci-fi']",0.8658,1
extinction,"[""Plagued by dream of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force out begin exterminating World ' due south inhabitants.""]",adult,"['action', 'drama', 'sci-fi']",-0.34,0
how it ends,"['When a inscrutable catastrophe turn the area into a war zone, a young lawyer heads west with his future mother - in - jurisprudence to find his fraught fiancée.']",adult,"['action', 'sci-fi']",-0.8402,1
tau,"['Abduct by an discoverer world health organization use her as a exam subject to perfect his robotic AI, a street - smart untried woman try to escape her in high spirits - tech prison.']",adult,"['sci-fi', 'thriller']",0.2732,0
expelled from paradise,"['In the wake of a global disaster, the human survivors embody "" uploaded "" into a cyber web, just soul or something is infiltrating the organisation.']",adult,"['action', 'sci-fi']",-0.4019,0
trollhunters,"['After uncovering a mysterious talisman, an average teen assumes an improbable destiny and sets out to keep two universe. Created by Guillermo del Toro.']",child,"['action', 'sci-fi']",0.6369,0
